"ts","srcip","dstip","srcport","dstport","proto_type","sbytes","dbytes","flow_bytes","rate","srate","drate","spkts","dpkts","ttl","iat","max_iat","min_iat","total_duration","N_IN_Conn_P_Src_IP","N_IN_Conn_P_Dst_IP","avg_pkt_len","state_con","state_int","state_rst","fin_flag_number","syn_flag_number","psh_flag_number","ack_flag_number","urg_flag_number","ece_flag_number","cwr_flag_number"
"1",1666700785.0791,"192.168.137.20","192.168.137.120",5438,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,1,1,1514,0,0,0,0,0,0,1,0,0,0
"2",1666700785.08019,"192.168.137.20","192.168.137.120",5439,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,2,2,1514,0,0,0,0,0,0,1,0,0,0
"3",1666700785.08602,"192.168.137.17","192.168.137.120",50299,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,1,3,1514,0,0,0,0,0,0,1,0,0,0
"4",1666700785.08602,"192.168.137.17","192.168.137.120",50300,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,2,4,1514,0,0,0,0,0,0,1,0,0,0
"5",1666700785.08602,"192.168.137.17","192.168.137.120",50301,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,3,5,1514,0,0,0,0,0,0,1,0,0,0
"6",1666700785.08603,"192.168.137.17","192.168.137.120",50302,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,4,6,1514,0,0,0,0,0,0,1,0,0,0
"7",1666700785.08604,"192.168.137.17","192.168.137.120",50303,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,5,7,1514,0,0,0,0,0,0,1,0,0,0
"8",1666700785.0861,"192.168.137.17","192.168.137.120",50304,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,6,8,1514,0,0,0,0,0,0,1,0,0,0
"9",1666700785.08611,"192.168.137.17","192.168.137.120",50305,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,7,9,1514,0,0,0,0,0,0,1,0,0,0
"10",1666700785.08612,"192.168.137.17","192.168.137.120",50306,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,8,10,1514,0,0,0,0,0,0,1,0,0,0
"11",1666700785.08983,"192.168.137.17","192.168.137.120",50307,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,9,11,1514,0,0,0,0,0,0,1,0,0,0
"12",1666700785.08984,"192.168.137.17","192.168.137.120",50308,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,10,12,1514,0,0,0,0,0,0,1,0,0,0
"13",1666700785.08984,"192.168.137.17","192.168.137.120",50309,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,11,13,1514,0,0,0,0,0,0,1,0,0,0
"14",1666700785.08984,"192.168.137.17","192.168.137.120",50310,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,12,14,1514,0,0,0,0,0,0,1,0,0,0
"15",1666700785.08992,"192.168.137.17","192.168.137.120",50311,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,13,15,1514,0,0,0,0,0,0,1,0,0,0
"16",1666700785.08992,"192.168.137.17","192.168.137.120",50312,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,14,16,1514,0,0,0,0,0,0,1,0,0,0
"17",1666700785.08992,"192.168.137.17","192.168.137.120",50313,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,15,17,1514,0,0,0,0,0,0,1,0,0,0
"18",1666700785.08992,"192.168.137.17","192.168.137.120",50314,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,16,18,1514,0,0,0,0,0,0,1,0,0,0
"19",1666700785.09004,"192.168.137.17","192.168.137.120",50315,554,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,17,19,1514,0,0,0,0,0,0,1,0,0,0
