"ts","srcip","dstip","srcport","dstport","proto_type","sbytes","dbytes","flow_bytes","rate","srate","drate","spkts","dpkts","ttl","iat","max_iat","min_iat","total_duration","N_IN_Conn_P_Src_IP","N_IN_Conn_P_Dst_IP","avg_pkt_len","state_con","state_int","state_rst","fin_flag_number","syn_flag_number","psh_flag_number","ack_flag_number","urg_flag_number","ece_flag_number","cwr_flag_number"
"1",1666816980.41438,"192.168.137.207","173.255.124.25",52333,443,6,156,0,156,0,0,0,1,0,64,0,0,0,0,1,1,156,0,0,0,0,0,1,1,0,0,0
"2",1666816980.48622,"192.168.137.206","192.168.137.246",36257,55443,6,97,0,97,0,0,0,1,0,64,0,0,0,0,1,1,97,0,0,0,0,0,1,1,0,0,0
"3",1666816980.48631,"192.168.137.206","192.168.137.246",36257,55443,6,163,0,163,21505.376344086,21505.376344086,0,2,0,64,9.3e-05,9.3e-05,0,9.3e-05,1,1,81.5,1,0,0,1,0,0,1,0,0,0
"4",1666816980.48718,"192.168.137.206","192.168.137.246",36330,55443,6,74,0,74,0,0,0,1,0,64,0,0,0,0,2,2,74,0,0,0,0,1,0,0,0,0,0
"5",1666816980.52619,"192.168.137.206","192.168.137.246",36330,55443,6,140,0,140,51.2715340442986,51.2715340442986,0,2,0,64,0.039008,0.039008,0,0.039008,2,2,70,1,0,0,0,0,0,1,0,0,0
"6",1666816980.52947,"192.168.137.207","173.255.124.25",52333,443,6,312,0,312,17.3771004570177,17.3771004570177,0,2,0,64,0.115094,0.115094,0,0.115094,1,1,156,1,0,0,0,0,1,1,0,0,0
"7",1666816980.52965,"192.168.137.206","192.168.137.246",36330,55443,6,370,0,370,70.6414241311105,70.6414241311105,0,3,0,64,0.00346,0.039008,0,0.042468,2,2,123.333333333333,1,0,0,0,0,1,1,0,0,0
"8",1666816980.55906,"192.168.137.206","192.168.137.246",36330,55443,6,436,0,436,55.6529482149317,55.6529482149317,0,4,0,64,0.029406,0.039008,0,0.071874,2,2,109,1,0,0,0,0,0,1,0,0,0
"9",1666816980.57864,"192.168.137.250","3.141.212.7",37198,443,6,329,0,329,0,0,0,1,0,64,0,0,0,0,1,1,329,0,0,0,0,0,1,1,0,0,0
"10",1666816980.59671,"192.168.137.206","192.168.137.246",36330,55443,6,1734,0,1734,45.6512608878257,45.6512608878257,0,5,0,64,0.037652,0.039008,0,0.109526,2,2,346.8,1,0,0,0,0,1,1,0,0,0
"11",1666816980.59693,"192.168.137.51","63.35.69.141",35815,443,6,1514,0,1514,0,0,0,1,0,64,0,0,0,0,1,1,1514,0,0,0,0,0,0,1,0,0,0
"12",1666816980.59834,"192.168.137.51","63.35.69.141",35815,443,6,3028,0,3028,1417.43444365698,1417.43444365698,0,2,0,64,0.001411,0.001411,0,0.001411,1,1,1514,1,0,0,0,0,0,1,0,0,0
"13",1666816980.59845,"192.168.137.51","63.35.69.141",35815,443,6,4542,0,4542,1967.2131147541,1967.2131147541,0,3,0,64,0.000114,0.001411,0,0.001525,1,1,1514,1,0,0,0,0,0,1,0,0,0
"14",1666816980.5989,"192.168.137.51","63.35.69.141",35815,443,6,6056,0,6056,2029.42668696093,2029.42668696093,0,4,0,64,0.000446,0.001411,0,0.001971,1,1,1514,1,0,0,0,0,0,1,0,0,0
"15",1666816980.59907,"192.168.137.51","63.35.69.141",35815,443,6,7570,0,7570,2332.08955223881,2332.08955223881,0,5,0,64,0.000173,0.001411,0,0.002144,1,1,1514,1,0,0,0,0,0,1,0,0,0
"16",1666816980.60304,"192.168.137.51","63.35.69.141",35815,443,6,9084,0,9084,982.157472581437,982.157472581437,0,6,0,64,0.003965,0.003965,0,0.006109,1,1,1514,1,0,0,0,0,0,1,0,0,0
"17",1666816980.60322,"192.168.137.51","63.35.69.141",35815,443,6,10598,0,10598,1111.81702668361,1111.81702668361,0,7,0,64,0.000187,0.003965,0,0.006296,1,1,1514,1,0,0,0,0,0,1,0,0,0
"18",1666816980.60333,"192.168.137.51","63.35.69.141",35815,443,6,12112,0,12112,1250.19534302235,1250.19534302235,0,8,0,64,0.000103,0.003965,0,0.006399,1,1,1514,1,0,0,0,0,0,1,0,0,0
"19",1666816980.60349,"192.168.137.51","63.35.69.141",35815,443,6,15074,0,15074,1371.32408959317,1371.32408959317,0,9,0,64,0.000164,0.003965,0,0.006563,1,1,1674.88888888889,1,0,0,0,0,0,1,0,0,0
"20",1666816980.60438,"192.168.137.51","63.35.69.141",35815,443,6,17073,0,17073,1342.46207544637,1342.46207544637,0,10,0,64,0.000886,0.003965,0,0.007449,1,1,1707.3,1,0,0,0,0,1,1,0,0,0
"21",1666816980.60481,"192.168.137.51","63.35.69.141",35815,443,6,18587,0,18587,1395.76195914224,1395.76195914224,0,11,0,64,0.000432,0.003965,0,0.007881,1,1,1689.72727272727,1,0,0,0,0,0,1,0,0,0
"22",1666816980.60498,"192.168.137.206","192.168.137.246",36330,55443,6,1800,0,1800,50.9346508429685,50.9346508429685,0,6,0,64,0.008272,0.039008,0,0.117798,2,2,300,1,0,0,0,0,0,1,0,0,0
"23",1666816980.60608,"192.168.137.206","192.168.137.246",36330,55443,6,2478,0,2478,58.8754783632617,58.8754783632617,0,7,0,64,0.001097,0.039008,0,0.118895,2,2,354,1,0,0,0,0,1,1,0,0,0
"24",1666816980.64088,"192.168.137.207","173.255.124.25",52333,443,6,468,0,468,13.2450331125828,13.2450331125828,0,3,0,64,0.111406,0.115094,0,0.2265,1,1,156,1,0,0,0,0,1,1,0,0,0
"25",1666816980.64595,"192.168.137.206","192.168.137.246",36330,55443,6,2544,0,2544,50.3902091823559,50.3902091823559,0,8,0,64,0.039866,0.039866,0,0.158761,2,2,318,1,0,0,0,0,0,1,0,0,0
"26",1666816980.65308,"192.168.137.206","192.168.137.246",36330,55443,6,2610,0,2610,54.2498749238995,54.2498749238995,0,9,0,64,0.007138,0.039866,0,0.165899,2,2,290,1,0,0,0,0,0,1,0,0,0
"27",1666816980.67128,"192.168.137.206","13.225.196.108",60720,443,6,97,0,97,0,0,0,1,0,64,0,0,0,0,3,1,97,0,0,0,0,0,1,1,0,0,0
"28",1666816980.67198,"192.168.137.206","13.225.196.108",60720,443,6,163,0,163,2849.00284900285,2849.00284900285,0,2,0,64,0.000702,0.000702,0,0.000702,3,1,81.5,0,0,1,0,0,0,1,0,0,0
"29",1666816980.67198,"192.168.137.206","3.212.205.83",54509,443,6,97,0,97,0,0,0,1,0,64,0,0,0,0,4,1,97,0,0,0,0,0,1,1,0,0,0
"30",1666816980.67198,"192.168.137.206","3.212.205.83",54509,443,6,163,0,163,2e+06,2e+06,0,2,0,64,1e-06,1e-06,0,1e-06,4,1,81.5,0,0,1,0,0,0,1,0,0,0
"31",1666816980.73278,"173.255.124.25","192.168.137.207",443,52333,6,468,66,534,12.5626562480371,9.42199218602781,3.14066406200927,3,1,60,0.091904,0.115094,0,0.318404,1,1,66,1,0,0,0,0,0,1,0,0,0
"32",1666816980.75488,"192.168.137.246","192.168.137.206",55443,36330,6,2610,117,2727,37.3558065865758,33.6202259279182,3.73558065865758,9,1,64,0.101797,0.101797,0,0.267696,4,2,117,1,0,0,0,0,1,1,0,0,0
"33",1666816980.75522,"192.168.137.207","173.255.124.25",52333,443,6,624,66,690,14.669553634822,11.7356429078576,2.9339107269644,4,1,64,0.022438,0.115094,0,0.340842,1,1,156,1,0,0,0,0,1,1,0,0,0
"34",1666816980.76196,"192.168.137.246","192.168.137.206",55443,36330,6,2610,334,2944,40.0324626879251,32.7538331083024,7.27862957962275,9,2,64,0.007081,0.101797,0,0.274777,4,2,167,1,0,0,0,0,1,1,0,0,0
"35",1666816980.77319,"192.168.137.51","63.35.69.141",35815,443,6,18837,0,18837,68.0804711168601,68.0804711168601,0,12,0,64,0.168381,0.168381,0,0.176262,1,1,1569.75,1,0,0,0,0,1,1,0,0,0
"36",1666816980.78348,"192.168.137.206","13.225.196.108",60214,443,6,74,0,74,0,0,0,1,0,64,0,0,0,0,5,2,74,0,0,0,0,1,0,0,0,0,0
"37",1666816980.80241,"192.168.137.246","192.168.137.206",55443,36330,6,2610,596,3206,38.0673220590615,28.5504915442961,9.51683051476536,9,3,64,0.040454,0.101797,0,0.315231,5,2,198.666666666667,1,0,0,0,0,1,1,0,0,0
"38",1666816980.8139,"192.168.137.9","3.141.212.7",60198,443,6,511,0,511,0,0,0,1,0,64,0,0,0,0,1,2,511,0,0,0,0,0,1,1,0,0,0
"39",1666816980.81462,"3.141.212.7","192.168.137.250",443,37198,6,329,66,395,8.47515085768527,4.23757542884263,4.23757542884263,1,1,236,0.235984,0.235984,0,0.235984,1,2,66,1,0,0,0,0,0,1,0,0,0
"40",1666816980.82611,"192.168.137.206","13.225.196.108",60214,443,6,140,0,140,46.9153178512784,46.9153178512784,0,2,0,64,0.04263,0.04263,0,0.04263,5,2,70,1,0,0,0,0,0,1,0,0,0
"41",1666816980.8336,"192.168.137.51","63.35.69.141",35815,443,6,20351,0,20351,54.9278754742811,54.9278754742811,0,13,0,64,0.060412,0.168381,0,0.236674,1,1,1565.46153846154,1,0,0,0,0,0,1,0,0,0
"42",1666816980.83602,"192.168.137.227","192.168.137.246",33408,55443,6,681,0,681,0,0,0,1,0,64,0,0,0,0,1,3,681,0,0,0,0,0,1,1,0,0,0
"43",1666816980.8367,"192.168.137.51","63.35.69.141",35815,443,6,23313,0,23313,58.3890462149301,58.3890462149301,0,14,0,64,0.003097,0.168381,0,0.239771,1,1,1665.21428571429,1,0,0,0,0,0,1,0,0,0
"44",1666816980.83819,"192.168.137.51","63.35.69.141",35815,443,6,30619,0,30619,62.1735886595374,62.1735886595374,0,15,0,64,0.001489,0.168381,0,0.24126,1,1,2041.26666666667,1,0,0,0,0,0,1,0,0,0
"45",1666816980.83837,"192.168.137.51","63.35.69.141",35815,443,6,32133,0,32133,66.2682289401639,66.2682289401639,0,16,0,64,0.000183,0.168381,0,0.241443,1,1,2008.3125,1,0,0,0,0,0,1,0,0,0
"46",1666816980.83854,"192.168.137.51","63.35.69.141",35815,443,6,35493,0,35493,70.3595788358387,70.3595788358387,0,17,0,64,0.000173,0.168381,0,0.241616,1,1,2087.82352941176,1,0,0,1,0,1,1,0,0,0
"47",1666816980.83897,"192.168.137.206","13.225.196.108",60214,443,6,723,0,723,54.0560020180907,54.0560020180907,0,3,0,64,0.012868,0.04263,0,0.055498,5,2,241,1,0,0,0,0,1,1,0,0,0
"48",1666816980.84743,"173.255.124.25","192.168.137.207",443,52333,6,624,132,756,13.8550850471304,9.23672336475359,4.61836168237679,4,2,60,0.092212,0.115094,0,0.433054,1,1,66,1,0,0,0,0,0,1,0,0,0
"49",1666816980.85814,"192.168.137.227","192.168.137.246",33408,55443,6,747,0,747,90.3873096217291,90.3873096217291,0,2,0,64,0.022127,0.022127,0,0.022127,1,3,373.5,1,0,0,0,0,0,1,0,0,0
"50",1666816980.85857,"192.168.137.206","13.225.196.108",60214,443,6,789,0,789,53.2665725623885,53.2665725623885,0,4,0,64,0.019596,0.04263,0,0.075094,5,2,197.25,1,0,0,0,0,0,1,0,0,0
"51",1666816980.86035,"192.168.137.227","192.168.137.246",33408,55443,6,813,0,813,123.2741617357,123.2741617357,0,3,0,64,0.002209,0.022127,0,0.024336,1,3,271,1,0,0,0,0,0,1,0,0,0
"52",1666816980.86124,"192.168.137.9","3.141.212.7",60198,443,6,577,0,577,42.2431090928292,42.2431090928292,0,2,0,64,0.047345,0.047345,0,0.047345,1,2,288.5,1,0,0,0,0,0,1,0,0,0
"53",1666816980.86647,"192.168.137.206","13.225.196.108",60214,443,6,906,0,906,60.2474967165114,60.2474967165114,0,5,0,64,0.007897,0.04263,0,0.082991,5,2,181.2,1,0,0,0,0,1,1,0,0,0
"54",1666816980.88403,"192.168.137.206","13.225.196.108",60214,443,6,1459,0,1459,59.668244560245,59.668244560245,0,6,0,64,0.017565,0.04263,0,0.100556,5,2,243.166666666667,1,0,0,0,0,1,1,0,0,0
"55",1666816980.88558,"192.168.137.207","173.255.124.25",52333,443,6,780,132,912,14.8557191335296,10.6112279525211,4.24449118100845,5,2,64,0.038145,0.115094,0,0.471199,1,1,156,1,0,0,0,0,1,1,0,0,0
"56",1666816980.9159,"63.35.69.141","192.168.137.51",443,35815,6,35493,66,35559,56.4305778491172,53.2955457463884,3.13503210272873,17,1,232,0.07736,0.168381,0,0.318976,1,1,66,1,0,0,0,0,0,1,0,0,0
"57",1666816980.9159,"63.35.69.141","192.168.137.51",443,35815,6,35493,132,35625,59.5654232123319,53.2953786636654,6.27004454866652,17,2,232,1e-06,0.168381,0,0.318977,1,1,66,1,0,0,0,0,0,1,0,0,0
"58",1666816980.9159,"63.35.69.141","192.168.137.51",443,35815,6,35493,198,35691,62.7002489199882,53.29521158199,9.40503733799823,17,3,232,1e-06,0.168381,0,0.318978,1,1,66,1,0,0,0,0,0,1,0,0,0
"59",1666816980.91616,"63.35.69.141","192.168.137.51",443,35815,6,35493,264,35757,65.7834971133575,53.2533071870037,12.5301899263538,17,4,232,0.000251,0.168381,0,0.319229,1,1,66,1,0,0,0,0,0,1,0,0,0
