Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

06:56:12 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:56:13 PM     all      0.27      0.00      0.54      0.00      0.00     99.20
06:56:14 PM     all      0.38      0.00      0.89      0.00      0.00     98.73
06:56:15 PM     all      0.52      0.00      1.04      0.13      0.00     98.31
06:56:16 PM     all      0.52      0.00      0.77      0.13      0.00     98.58
06:56:17 PM     all      0.39      0.00      0.39      0.00      0.00     99.23
06:56:18 PM     all      0.39      0.00      0.90      0.00      0.00     98.72
06:56:19 PM     all      0.52      0.00      0.65      0.00      0.00     98.83
06:56:20 PM     all      0.13      0.00      1.29      0.13      0.00     98.46
06:56:21 PM     all      0.26      0.00      0.38      0.38      0.00     98.97
06:56:22 PM     all      0.38      0.00      0.13      0.00      0.00     99.49
06:56:23 PM     all      0.26      0.00      0.26      0.00      0.00     99.49
06:56:24 PM     all      0.52      0.00      0.39      0.00      0.00     99.10
06:56:25 PM     all      0.64      0.00      0.90      0.00      0.00     98.46
06:56:26 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
06:56:27 PM     all      0.00      0.00      0.39      0.00      0.00     99.61
06:56:28 PM     all      0.26      0.00      0.26      0.00      0.00     99.49
06:56:29 PM     all      0.39      0.00      0.26      0.00      0.00     99.35
06:56:30 PM     all      0.39      0.00      0.26      0.00      0.00     99.35
06:56:31 PM     all      0.26      0.00      0.39      0.26      0.00     99.09
06:56:32 PM     all      0.51      0.00      0.90      0.00      0.00     98.59
06:56:33 PM     all      0.26      0.00      0.00      0.00      0.00     99.74
06:56:34 PM     all      0.51      0.00      0.63      0.00      0.00     98.86
06:56:35 PM     all      0.26      0.00      0.26      0.00      0.00     99.49
06:56:36 PM     all      0.38      0.00      0.38      0.13      0.00     99.10
06:56:37 PM     all      0.39      0.00      0.13      0.00      0.00     99.49
06:56:38 PM     all      0.64      0.00      0.64      0.00      0.00     98.72
06:56:39 PM     all      0.38      0.00      0.26      0.00      0.00     99.36
06:56:40 PM     all      0.64      0.00      0.38      0.00      0.00     98.97
06:56:41 PM     all      1.02      0.00      0.25      0.13      0.00     98.60
06:56:42 PM     all      0.00      0.00      1.02      0.00      0.00     98.98
06:56:43 PM     all      0.26      0.00      0.38      0.00      0.00     99.36
