Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

07:28:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:28:41 PM     all      1.30      0.00      0.91      0.00      0.00     97.79
07:28:42 PM     all      0.26      0.00      0.79      0.26      0.00     98.68
07:28:43 PM     all      1.20      0.00      0.67      0.00      0.00     98.13
07:28:44 PM     all      1.85      0.00      1.06      0.00      0.00     97.10
07:28:45 PM     all      0.52      0.00      0.65      0.00      0.00     98.83
07:28:46 PM     all      1.04      0.00      0.78      0.13      0.00     98.05
07:28:47 PM     all      0.67      0.00      1.62      0.27      0.00     97.44
07:28:48 PM     all      0.78      0.00      0.65      0.00      0.00     98.57
07:28:49 PM     all      0.52      0.00      0.52      0.00      0.00     98.95
07:28:50 PM     all      0.79      0.00      0.65      0.00      0.00     98.56
07:28:51 PM     all      0.81      0.00      0.40      0.00      0.00     98.79
07:28:52 PM     all      1.40      0.00      0.77      0.13      0.00     97.70
07:28:53 PM     all      0.93      0.00      1.06      0.00      0.00     98.01
07:28:54 PM     all      0.92      0.00      1.31      0.13      0.00     97.64
07:28:55 PM     all      0.52      0.00      0.91      0.00      0.00     98.57
07:28:56 PM     all      0.65      0.00      0.78      0.00      0.00     98.57
07:28:57 PM     all      0.66      0.00      0.66      0.26      0.00     98.42
07:28:58 PM     all      1.21      0.00      1.07      0.00      0.00     97.72
07:28:59 PM     all      0.53      0.00      0.92      0.00      0.00     98.55
07:29:00 PM     all      0.65      0.00      0.78      0.00      0.00     98.56
07:29:01 PM     all      0.65      0.00      0.39      0.00      0.00     98.96
07:29:02 PM     all      0.13      0.00      0.39      0.26      0.00     99.23
07:29:03 PM     all      0.13      0.00      0.13      0.00      0.00     99.74
07:29:04 PM     all      0.13      0.00      0.77      0.00      0.00     99.11
07:29:05 PM     all      0.26      0.00      0.39      0.00      0.00     99.36
07:29:06 PM     all      0.00      0.00      0.39      0.00      0.00     99.61
07:29:07 PM     all      0.26      0.00      0.39      0.13      0.00     99.22
07:29:08 PM     all      0.52      0.00      0.52      0.00      0.00     98.97
07:29:09 PM     all      0.13      0.00      1.58      0.13      0.00     98.15
07:29:10 PM     all      0.26      0.00      0.66      0.13      0.00     98.95
