Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

07:02:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:02:40 PM     all      0.65      0.00      0.52      0.13      0.00     98.69
07:02:41 PM     all      1.17      0.00      1.04      0.39      0.00     97.41
07:02:42 PM     all      0.39      0.00      0.52      0.00      0.00     99.09
07:02:43 PM     all      0.77      0.00      1.93      0.00      0.00     97.29
07:02:44 PM     all      0.26      0.00      1.57      0.26      0.00     97.90
07:02:45 PM     all      1.42      0.00      1.94      0.00      0.00     96.63
07:02:46 PM     all      0.25      0.00      0.76      0.00      0.00     98.99
07:02:47 PM     all      0.39      0.00      0.26      0.00      0.00     99.35
07:02:48 PM     all      0.13      0.00      1.03      0.00      0.00     98.84
07:02:49 PM     all      0.39      0.00      0.65      0.13      0.00     98.82
07:02:50 PM     all      0.26      0.00      1.44      0.00      0.00     98.30
07:02:51 PM     all      0.26      0.00      0.79      0.00      0.00     98.95
07:02:52 PM     all      0.39      0.00      0.92      0.13      0.00     98.56
07:02:53 PM     all      0.26      0.00      0.39      0.00      0.00     99.35
07:02:54 PM     all      0.39      0.00      0.64      0.00      0.00     98.97
07:02:55 PM     all      0.39      0.00      0.77      0.00      0.00     98.84
07:02:56 PM     all      0.13      0.00      1.74      0.13      0.00     97.99
07:02:57 PM     all      0.26      0.00      0.52      0.00      0.00     99.23
07:02:58 PM     all      0.52      0.00      0.26      0.00      0.00     99.22
07:02:59 PM     all      0.26      0.00      1.16      0.26      0.00     98.33
07:03:00 PM     all      0.52      0.00      0.65      0.00      0.00     98.84
07:03:01 PM     all      0.52      0.00      0.39      0.00      0.00     99.08
07:03:02 PM     all      0.39      0.00      0.52      0.00      0.00     99.09
07:03:03 PM     all      0.39      0.00      0.65      0.00      0.00     98.96
07:03:04 PM     all      0.13      0.00      1.33      0.13      0.00     98.40
07:03:05 PM     all      0.39      0.00      0.26      0.00      0.00     99.34
07:03:06 PM     all      0.52      0.00      0.78      0.00      0.00     98.70
07:03:07 PM     all      0.53      0.00      1.31      0.00      0.00     98.16
07:03:08 PM     all      0.39      0.00      0.39      0.00      0.00     99.22
07:03:09 PM     all      0.39      0.00      0.39      0.13      0.00     99.10
07:03:10 PM     all      0.26      0.00      0.38      0.00      0.00     99.36
07:03:11 PM     all      0.25      0.00      0.63      0.00      0.00     99.12
07:03:12 PM     all      0.25      0.00      0.64      0.00      0.00     99.11
07:03:13 PM     all      0.38      0.00      0.51      0.00      0.00     99.10
07:03:14 PM     all      0.26      0.00      0.39      0.00      0.00     99.35
07:03:15 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
07:03:16 PM     all      0.39      0.00      0.90      0.00      0.00     98.71
07:03:17 PM     all      0.51      0.00      0.39      0.00      0.00     99.10
07:03:18 PM     all      0.13      0.00      0.52      0.13      0.00     99.22
07:03:19 PM     all      0.26      0.00      0.13      0.00      0.00     99.61
07:03:20 PM     all      0.52      0.00      0.79      0.00      0.00     98.69
07:03:21 PM     all      0.40      0.00      0.66      0.00      0.00     98.94
07:03:22 PM     all      0.38      0.00      0.64      0.00      0.00     98.98
07:03:23 PM     all      0.26      0.00      0.64      0.00      0.00     99.10
07:03:24 PM     all      0.00      0.00      0.13      0.13      0.00     99.74
07:03:25 PM     all      0.26      0.00      0.26      0.00      0.00     99.48
07:03:26 PM     all      0.00      0.00      0.65      0.00      0.00     99.35
07:03:27 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
07:03:28 PM     all      0.38      0.00      0.64      0.00      0.00     98.98
07:03:29 PM     all      0.26      0.00      0.51      0.13      0.00     99.10
07:03:30 PM     all      0.13      0.00      0.38      0.00      0.00     99.49
07:03:31 PM     all      0.13      0.00      0.51      0.00      0.00     99.37
07:03:32 PM     all      0.13      0.00      0.52      0.26      0.00     99.10
07:03:33 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
07:03:34 PM     all      0.52      0.00      1.17      0.39      0.00     97.92
07:03:35 PM     all      0.13      0.00      0.40      0.00      0.00     99.47
07:03:36 PM     all      0.39      0.00      0.65      0.00      0.00     98.96
07:03:37 PM     all      0.13      0.00      1.04      0.00      0.00     98.83
07:03:38 PM     all      0.13      0.00      0.39      0.00      0.00     99.49
07:03:39 PM     all      0.39      0.00      0.65      0.26      0.00     98.71
07:03:40 PM     all      0.27      0.00      0.53      0.27      0.00     98.94
07:03:41 PM     all      0.13      0.00      0.52      0.00      0.00     99.35
07:03:42 PM     all      0.38      0.00      0.90      0.38      0.00     98.34
07:03:43 PM     all      0.13      0.00      0.26      0.00      0.00     99.62
07:03:44 PM     all      0.52      0.00      0.26      0.13      0.00     99.09
07:03:45 PM     all      0.51      0.00      0.64      0.00      0.00     98.85
07:03:46 PM     all      0.26      0.00      0.52      0.00      0.00     99.22
07:03:47 PM     all      0.63      0.00      0.51      0.00      0.00     98.86
07:03:48 PM     all      0.26      0.00      0.26      0.00      0.00     99.48
07:03:49 PM     all      0.38      0.00      1.02      0.13      0.00     98.47
07:03:50 PM     all      0.40      0.00      1.06      0.00      0.00     98.55
07:03:51 PM     all      0.69      0.00      8.14      0.69      0.00     90.48
07:03:52 PM     all      0.66      0.00      0.80      0.00      0.00     98.54
07:03:53 PM     all      0.52      0.00      0.52      0.00      0.00     98.97
07:03:54 PM     all      0.91      0.00      0.91      0.26      0.00     97.92
07:03:55 PM     all      0.52      0.00      0.52      0.00      0.00     98.96
07:03:56 PM     all      0.39      0.00      0.52      0.00      0.00     99.09
07:03:57 PM     all      0.13      0.00      0.39      0.00      0.00     99.48
07:03:58 PM     all      0.52      0.00      0.52      0.00      0.00     98.96
07:03:59 PM     all      0.65      0.00      0.52      0.26      0.00     98.58
07:04:00 PM     all      0.39      0.00      0.13      0.13      0.00     99.35
07:04:01 PM     all      0.13      0.00      0.65      0.00      0.00     99.22
07:04:02 PM     all      0.53      0.00      0.39      0.00      0.00     99.08
07:04:03 PM     all      0.66      0.00      1.19      0.13      0.00     98.02
07:04:04 PM     all      0.52      0.00      0.13      0.13      0.00     99.21
07:04:05 PM     all      0.64      0.00      1.16      0.00      0.00     98.20
07:04:06 PM     all      0.91      0.00      0.13      0.00      0.00     98.96
07:04:07 PM     all      0.39      0.00      0.78      0.00      0.00     98.84
07:04:08 PM     all      0.26      0.00      0.65      0.39      0.00     98.70
07:04:09 PM     all      0.26      0.00      0.52      0.26      0.00     98.96
07:04:10 PM     all      0.39      0.00      0.64      0.00      0.00     98.97
07:04:11 PM     all      0.26      0.00      0.65      0.00      0.00     99.09
07:04:12 PM     all      0.65      0.00      0.39      0.00      0.00     98.96
07:04:13 PM     all      0.13      0.00      0.26      0.13      0.00     99.48
07:04:14 PM     all      0.64      0.00      0.39      0.13      0.00     98.84
07:04:15 PM     all      0.39      0.00      0.26      0.00      0.00     99.36
07:04:16 PM     all      0.77      0.00      0.51      0.00      0.00     98.72
07:04:17 PM     all      0.90      0.00      0.51      0.00      0.00     98.59
07:04:18 PM     all      0.51      0.00      0.51      0.00      0.00     98.97
07:04:19 PM     all      0.65      0.00      0.65      0.26      0.00     98.44
07:04:20 PM     all      0.52      0.00      0.52      0.00      0.00     98.97
07:04:21 PM     all      0.38      0.00      0.77      0.00      0.00     98.85
07:04:22 PM     all      0.52      0.00      0.78      0.00      0.00     98.71
07:04:23 PM     all      0.39      0.00      0.39      0.00      0.00     99.23
07:04:24 PM     all      0.39      0.00      0.64      0.13      0.00     98.84
07:04:25 PM     all      0.13      0.00      0.39      0.00      0.00     99.48
07:04:26 PM     all      0.66      0.00      0.26      0.00      0.00     99.08
07:04:27 PM     all      0.13      0.00      0.65      0.13      0.00     99.10
07:04:28 PM     all      0.13      0.00      0.13      0.00      0.00     99.74
07:04:29 PM     all      0.26      0.00      0.77      0.13      0.00     98.84
07:04:30 PM     all      0.13      0.00      0.64      0.00      0.00     99.23
07:04:31 PM     all      0.00      0.00      0.52      0.00      0.00     99.48
07:04:32 PM     all      0.13      0.00      0.38      0.00      0.00     99.49
07:04:33 PM     all      0.39      0.00      0.65      0.13      0.00     98.83
