Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

07:10:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:10:26 PM     all     11.35      0.00      0.52      0.26      0.00     87.87
07:10:27 PM     all      2.90      0.00      0.92      0.00      0.00     96.17
07:10:28 PM     all      0.66      0.00      1.31      0.00      0.00     98.03
07:10:29 PM     all      0.13      0.00      1.44      0.00      0.00     98.43
07:10:30 PM     all      0.52      0.00      0.78      0.26      0.00     98.44
07:10:31 PM     all      0.26      0.00      0.91      0.13      0.00     98.70
07:10:32 PM     all      0.52      0.00      0.52      0.00      0.00     98.97
07:10:33 PM     all      0.39      0.00      0.26      0.00      0.00     99.35
07:10:34 PM     all      0.64      0.00      0.64      0.00      0.00     98.72
07:10:35 PM     all      0.26      0.00      0.51      0.13      0.00     99.10
07:10:36 PM     all      0.26      0.00      0.52      0.00      0.00     99.23
07:10:37 PM     all      0.52      0.00      1.03      0.00      0.00     98.45
07:10:38 PM     all      0.51      0.00      0.51      0.00      0.00     98.97
07:10:39 PM     all      0.77      0.00      0.51      0.00      0.00     98.72
07:10:40 PM     all      0.39      0.00      0.78      0.26      0.00     98.56
07:10:41 PM     all      0.52      0.00      0.91      0.00      0.00     98.58
07:10:42 PM     all      0.65      0.00      0.26      0.00      0.00     99.10
07:10:43 PM     all      0.65      0.00      0.65      0.00      0.00     98.70
07:10:44 PM     all      0.78      0.00      0.39      0.13      0.00     98.71
07:10:45 PM     all      0.13      0.00      0.80      0.13      0.00     98.94
07:10:46 PM     all      0.67      0.00      0.80      0.80      0.00     97.74
07:10:47 PM     all      0.77      0.00      1.03      0.00      0.00     98.20
07:10:48 PM     all      0.65      0.00      1.05      0.26      0.00     98.04
07:10:49 PM     all      1.16      0.00      0.26      0.00      0.00     98.58
07:10:50 PM     all      0.26      0.00      0.65      0.26      0.00     98.83
07:10:51 PM     all      0.13      0.00      1.17      0.26      0.00     98.44
07:10:52 PM     all      0.39      0.00      0.39      0.00      0.00     99.22
07:10:53 PM     all      0.26      0.00      1.04      0.00      0.00     98.70
07:10:54 PM     all      0.52      0.00      0.26      0.00      0.00     99.22
07:10:55 PM     all      0.26      0.00      0.26      0.26      0.00     99.21
07:10:56 PM     all      0.26      0.00      0.39      0.00      0.00     99.35
07:10:57 PM     all      0.78      0.00      0.39      0.13      0.00     98.70
07:10:58 PM     all      0.65      0.00      0.65      0.00      0.00     98.71
07:10:59 PM     all      0.26      0.00      0.93      0.40      0.00     98.41
07:11:00 PM     all      0.39      0.00      0.39      0.26      0.00     98.97
07:11:01 PM     all      0.26      0.00      0.51      0.00      0.00     99.23
07:11:02 PM     all      0.26      0.00      0.78      0.00      0.00     98.96
07:11:03 PM     all      0.52      0.00      0.39      0.13      0.00     98.97
07:11:04 PM     all      0.52      0.00      0.92      0.00      0.00     98.56
07:11:05 PM     all      1.05      0.00      0.65      0.26      0.00     98.04
07:11:06 PM     all      0.65      0.00      0.39      0.00      0.00     98.96
07:11:07 PM     all      0.79      0.00      0.65      0.00      0.00     98.56
07:11:08 PM     all      0.39      0.00      0.00      0.00      0.00     99.61
07:11:09 PM     all      0.78      0.00      0.52      0.00      0.00     98.70
07:11:10 PM     all      0.52      0.00      0.13      0.13      0.00     99.22
07:11:11 PM     all      1.04      0.00      1.31      0.13      0.00     97.52
07:11:12 PM     all      0.39      0.00      0.66      0.00      0.00     98.95
07:11:13 PM     all      0.52      0.00      0.26      0.00      0.00     99.22
07:11:14 PM     all      0.91      0.00      0.39      0.00      0.00     98.70
07:11:15 PM     all      0.39      0.00      0.52      0.39      0.00     98.71
