Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

07:17:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:17:58 PM     all      0.26      0.00      0.39      0.00      0.00     99.35
07:17:59 PM     all      0.65      0.00      0.52      0.00      0.00     98.84
07:18:00 PM     all      0.13      0.00      0.90      0.13      0.00     98.84
07:18:01 PM     all      0.26      0.00      0.64      0.00      0.00     99.10
07:18:02 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
07:18:03 PM     all      0.26      0.00      0.26      0.00      0.00     99.49
07:18:04 PM     all      0.13      0.00      0.38      0.00      0.00     99.49
07:18:05 PM     all      0.00      0.00      0.13      0.26      0.00     99.62
07:18:06 PM     all      0.13      0.00      0.25      0.00      0.00     99.62
07:18:07 PM     all      0.38      0.00      0.00      0.00      0.00     99.62
07:18:08 PM     all      0.25      0.00      0.25      0.13      0.00     99.37
07:18:09 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
07:18:10 PM     all      0.13      0.00      0.38      0.25      0.00     99.24
07:18:11 PM     all      0.26      0.00      0.26      0.00      0.00     99.49
07:18:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:18:13 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
07:18:14 PM     all      0.13      0.00      0.25      0.00      0.00     99.62
07:18:15 PM     all      0.00      0.00      0.65      0.39      0.00     98.96
07:18:16 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
07:18:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:18:18 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
07:18:19 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
07:18:20 PM     all      0.13      0.00      0.64      0.26      0.00     98.98
07:18:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:18:22 PM     all      0.26      0.00      0.26      0.00      0.00     99.49
07:18:23 PM     all      0.64      0.00      0.52      0.00      0.00     98.84
07:18:24 PM     all      0.13      0.00      0.52      0.00      0.00     99.35
07:18:25 PM     all      0.26      0.00      0.26      0.26      0.00     99.22
07:18:26 PM     all      0.26      0.00      0.90      0.00      0.00     98.84
07:18:27 PM     all      0.52      0.00      0.39      0.00      0.00     99.10
07:18:28 PM     all      0.52      0.00      0.13      0.00      0.00     99.35
07:18:29 PM     all      0.13      0.00      0.78      0.00      0.00     99.09
07:18:30 PM     all      0.65      0.00      0.13      0.13      0.00     99.10
07:18:31 PM     all      0.26      0.00      0.78      0.00      0.00     98.96
07:18:32 PM     all      0.51      0.00      1.03      0.00      0.00     98.46
07:18:33 PM     all      0.52      0.00      0.65      0.00      0.00     98.83
07:18:34 PM     all      0.39      0.00      0.64      0.00      0.00     98.97
07:18:35 PM     all      0.40      0.00      0.66      0.26      0.00     98.68
07:18:36 PM     all      0.13      0.00      0.38      0.00      0.00     99.49
07:18:37 PM     all      0.13      0.00      0.64      0.00      0.00     99.23
07:18:38 PM     all      0.13      0.00      0.13      0.00      0.00     99.74
07:18:39 PM     all      0.39      0.00      0.64      0.00      0.00     98.97
07:18:40 PM     all      0.51      0.00      0.13      0.13      0.00     99.23
07:18:41 PM     all      0.26      0.00      0.78      0.13      0.00     98.83
07:18:42 PM     all      1.83      0.00      0.52      0.00      0.00     97.65
07:18:43 PM     all      0.00      0.00      0.13      0.13      0.00     99.75
07:18:44 PM     all      0.38      0.00      0.26      0.00      0.00     99.36
