Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

07:25:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:25:36 PM     all      0.81      0.00      2.42      0.13      0.00     96.64
07:25:37 PM     all      0.92      0.00      1.72      0.00      0.00     97.36
07:25:38 PM     all      0.92      0.00      1.18      0.00      0.00     97.91
07:25:39 PM     all      1.17      0.00      0.65      0.00      0.00     98.18
07:25:40 PM     all      1.04      0.00      0.78      0.26      0.00     97.92
07:25:41 PM     all      0.52      0.00      0.65      0.00      0.00     98.83
07:25:42 PM     all      0.77      0.00      1.03      0.00      0.00     98.19
07:25:43 PM     all      0.26      0.00      0.52      0.00      0.00     99.22
07:25:44 PM     all      0.52      0.00      0.39      0.00      0.00     99.09
07:25:45 PM     all      0.26      0.00      0.78      0.26      0.00     98.71
07:25:46 PM     all      0.92      0.00      2.23      0.00      0.00     96.85
07:25:47 PM     all      0.78      0.00      0.91      0.00      0.00     98.32
07:25:48 PM     all      0.26      0.00      0.52      0.00      0.00     99.21
07:25:49 PM     all      0.52      0.00      0.78      0.00      0.00     98.71
07:25:50 PM     all      0.13      0.00      0.52      0.26      0.00     99.10
07:25:51 PM     all      0.54      0.00      1.63      0.14      0.00     97.69
07:25:52 PM     all      0.65      0.00      0.78      0.00      0.00     98.57
07:25:53 PM     all      0.53      0.00      0.53      0.00      0.00     98.94
07:25:54 PM     all      0.78      0.00      0.78      0.00      0.00     98.43
07:25:55 PM     all      0.79      0.00      1.31      0.26      0.00     97.64
07:25:56 PM     all      0.53      0.00      0.26      0.00      0.00     99.21
07:25:57 PM     all      0.53      0.00      0.92      0.13      0.00     98.41
07:25:58 PM     all      0.79      0.00      0.79      0.00      0.00     98.41
07:25:59 PM     all      0.80      0.00      0.93      0.00      0.00     98.28
07:26:00 PM     all      0.93      0.00      0.93      0.13      0.00     98.02
07:26:01 PM     all      0.81      0.00      0.40      0.00      0.00     98.79
07:26:02 PM     all      0.39      0.00      1.05      0.00      0.00     98.56
07:26:03 PM     all      1.04      0.00      0.52      0.00      0.00     98.44
07:26:04 PM     all      0.52      0.00      0.39      0.00      0.00     99.08
07:26:05 PM     all      0.64      0.00      1.16      0.39      0.00     97.81
07:26:06 PM     all      1.05      0.00      1.18      0.00      0.00     97.77
07:26:07 PM     all      0.79      0.00      0.53      0.00      0.00     98.68
07:26:08 PM     all      0.92      0.00      0.39      0.00      0.00     98.68
07:26:09 PM     all      0.91      0.00      0.39      0.00      0.00     98.70
07:26:10 PM     all      0.90      0.00      0.65      0.13      0.00     98.32
07:26:11 PM     all      0.52      0.00      0.26      0.00      0.00     99.21
07:26:12 PM     all      1.17      0.00      1.30      0.00      0.00     97.53
07:26:13 PM     all      0.52      0.00      0.52      0.00      0.00     98.96
07:26:14 PM     all      1.05      0.00      0.92      0.00      0.00     98.03
07:26:15 PM     all      0.40      0.00      2.56      0.13      0.00     96.90
07:26:16 PM     all      0.13      0.00      1.19      0.00      0.00     98.68
07:26:17 PM     all      0.13      0.00      1.05      0.26      0.00     98.56
07:26:18 PM     all      0.90      0.00      0.26      0.00      0.00     98.84
07:26:19 PM     all      0.00      0.00      0.78      0.00      0.00     99.22
07:26:20 PM     all      0.26      0.00      0.65      0.26      0.00     98.84
07:26:21 PM     all      0.39      0.00      0.39      0.00      0.00     99.21
07:26:22 PM     all      0.39      0.00      1.04      0.00      0.00     98.57
07:26:23 PM     all      0.39      0.00      0.52      0.00      0.00     99.09
07:26:24 PM     all      0.00      0.00      0.64      0.00      0.00     99.36
07:26:25 PM     all      0.39      0.00      0.13      0.26      0.00     99.23
