Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

06:58:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:58:43 PM     all      0.52      0.00      1.04      0.00      0.00     98.44
06:58:44 PM     all      0.65      0.00      0.78      0.00      0.00     98.56
06:58:45 PM     all      0.65      0.00      1.17      0.00      0.00     98.18
06:58:46 PM     all      0.65      0.00      1.17      0.26      0.00     97.93
06:58:47 PM     all      1.16      0.00      1.03      0.13      0.00     97.69
06:58:48 PM     all      0.39      0.00      0.39      0.00      0.00     99.22
06:58:49 PM     all      0.26      0.00      0.78      0.00      0.00     98.96
06:58:50 PM     all      0.39      0.00      0.13      0.00      0.00     99.48
06:58:51 PM     all      0.77      0.00      1.54      0.39      0.00     97.30
06:58:52 PM     all      1.45      0.00      1.71      0.00      0.00     96.85
06:58:53 PM     all      0.65      0.00      1.44      0.00      0.00     97.91
06:58:54 PM     all      0.78      0.00      0.39      0.00      0.00     98.83
06:58:55 PM     all      0.66      0.00      0.92      0.00      0.00     98.43
06:58:56 PM     all      0.91      0.00      1.04      0.13      0.00     97.93
06:58:57 PM     all      0.65      0.00      1.04      0.00      0.00     98.31
06:58:58 PM     all      0.52      0.00      0.91      0.00      0.00     98.57
06:58:59 PM     all      0.26      0.00      0.65      0.00      0.00     99.10
06:59:00 PM     all      0.91      0.00      0.78      0.65      0.00     97.67
06:59:01 PM     all      0.51      0.00      0.26      0.26      0.00     98.97
06:59:02 PM     all      0.64      0.00      0.13      0.00      0.00     99.23
06:59:04 PM     all      0.51      0.00      0.51      0.13      0.00     98.84
06:59:05 PM     all      0.39      0.00      0.39      0.00      0.00     99.23
06:59:06 PM     all      0.65      0.00      1.04      0.39      0.00     97.92
06:59:07 PM     all      0.64      0.00      0.38      0.26      0.00     98.72
06:59:08 PM     all      0.51      0.00      0.64      0.00      0.00     98.84
06:59:09 PM     all      0.38      0.00      0.64      0.00      0.00     98.98
06:59:10 PM     all      1.17      0.00      0.65      0.00      0.00     98.18
06:59:11 PM     all      0.67      0.00      1.07      0.00      0.00     98.26
06:59:12 PM     all      0.92      0.00      0.66      0.26      0.00     98.16
06:59:13 PM     all      0.93      0.00      1.32      0.00      0.00     97.75
06:59:14 PM     all      0.54      0.00      1.09      0.00      0.00     98.37
06:59:15 PM     all      0.81      0.00      0.81      0.00      0.00     98.38
06:59:16 PM     all      1.83      0.00      0.78      0.00      0.00     97.39
06:59:17 PM     all      0.91      0.00      0.91      0.26      0.00     97.91
06:59:18 PM     all      1.02      0.00      0.89      0.00      0.00     98.09
06:59:19 PM     all      0.51      0.00      0.38      0.00      0.00     99.10
06:59:20 PM     all      0.89      0.00      0.38      0.00      0.00     98.73
06:59:21 PM     all      0.77      0.00      0.64      0.00      0.00     98.60
06:59:22 PM     all      0.38      0.00      0.38      0.00      0.00     99.23
06:59:23 PM     all      1.04      0.00      0.52      0.00      0.00     98.45
06:59:24 PM     all      0.91      0.00      0.78      0.00      0.00     98.31
06:59:25 PM     all      0.65      0.00      1.56      0.00      0.00     97.79
06:59:26 PM     all      1.05      0.00      2.10      0.79      0.00     96.07
06:59:27 PM     all      1.31      0.00      3.29      1.31      0.00     94.09
06:59:28 PM     all      1.43      0.00      0.91      0.00      0.00     97.65
06:59:29 PM     all      1.52      0.00      0.88      0.00      0.00     97.60
06:59:30 PM     all      0.39      0.00      1.42      0.00      0.00     98.20
06:59:31 PM     all      0.52      0.00      0.52      0.00      0.00     98.96
06:59:32 PM     all      0.77      0.00      0.77      0.51      0.00     97.94
06:59:33 PM     all      0.90      0.00      1.16      0.00      0.00     97.94
06:59:34 PM     all      1.04      0.00      0.52      0.00      0.00     98.44
06:59:35 PM     all      0.92      0.00      0.79      0.13      0.00     98.17
06:59:36 PM     all      0.79      0.00      0.39      0.00      0.00     98.82
06:59:37 PM     all      0.66      0.00      1.46      0.53      0.00     97.35
06:59:38 PM     all      0.52      0.00      1.04      0.00      0.00     98.44
06:59:39 PM     all      1.18      0.00      0.92      0.00      0.00     97.91
06:59:40 PM     all      0.66      0.00      1.19      0.00      0.00     98.15
06:59:41 PM     all      0.91      0.00      1.04      0.00      0.00     98.04
06:59:42 PM     all      1.04      0.00      0.65      0.00      0.00     98.31
06:59:43 PM     all      0.66      0.00      1.31      0.00      0.00     98.03
06:59:44 PM     all      0.78      0.00      0.78      0.00      0.00     98.44
06:59:45 PM     all      0.65      0.00      0.52      0.00      0.00     98.83
06:59:46 PM     all      0.53      0.00      0.66      0.00      0.00     98.82
06:59:47 PM     all      0.79      0.00      1.59      0.26      0.00     97.35
06:59:48 PM     all      0.79      0.00      0.39      0.00      0.00     98.82
06:59:49 PM     all      0.52      0.00      1.18      0.00      0.00     98.30
06:59:50 PM     all      1.04      0.00      0.65      0.00      0.00     98.31
06:59:51 PM     all      0.51      0.00      0.77      0.13      0.00     98.59
06:59:52 PM     all      0.40      0.00      1.60      0.27      0.00     97.73
06:59:53 PM     all      0.77      0.00      0.51      0.00      0.00     98.72
06:59:54 PM     all      0.52      0.00      0.65      0.00      0.00     98.83
06:59:55 PM     all      0.39      0.00      0.91      0.00      0.00     98.70
06:59:56 PM     all      0.78      0.00      0.92      0.00      0.00     98.30
06:59:57 PM     all      0.53      0.00      1.72      0.53      0.00     97.22
06:59:58 PM     all      0.39      0.00      0.90      0.00      0.00     98.71
06:59:59 PM     all      0.39      0.00      0.91      0.00      0.00     98.71
07:00:00 PM     all      0.52      0.00      0.39      0.00      0.00     99.10
07:00:01 PM     all      0.39      0.00      0.90      0.00      0.00     98.71
07:00:02 PM     all      0.39      0.00      0.52      0.39      0.00     98.70
07:00:03 PM     all      0.40      0.00      0.53      0.00      0.00     99.08
07:00:04 PM     all      0.64      0.00      0.39      0.00      0.00     98.97
07:00:05 PM     all      0.39      0.00      1.04      0.00      0.00     98.57
07:00:06 PM     all      0.40      0.00      0.67      0.00      0.00     98.93
07:00:07 PM     all      0.67      0.00      1.34      0.13      0.00     97.86
07:00:08 PM     all      0.26      0.00      0.26      0.00      0.00     99.48
07:00:09 PM     all      0.39      0.00      1.17      0.00      0.00     98.44
07:00:10 PM     all      0.64      0.00      0.26      0.00      0.00     99.10
07:00:11 PM     all      0.65      0.00      0.78      0.00      0.00     98.58
07:00:12 PM     all      0.39      0.00      0.65      0.13      0.00     98.84
07:00:13 PM     all      0.77      0.00      0.64      0.26      0.00     98.33
07:00:14 PM     all      0.13      0.00      0.39      0.00      0.00     99.48
07:00:15 PM     all      0.51      0.00      0.77      0.13      0.00     98.58
07:00:16 PM     all      0.91      0.00      0.65      0.00      0.00     98.45
07:00:17 PM     all      0.52      0.00      0.52      0.00      0.00     98.96
07:00:18 PM     all      0.65      0.00      1.31      0.39      0.00     97.65
07:00:19 PM     all      0.51      0.00      0.51      0.00      0.00     98.97
07:00:20 PM     all      0.39      0.00      0.26      0.00      0.00     99.36
07:00:21 PM     all      0.51      0.00      0.64      0.00      0.00     98.84
07:00:22 PM     all      0.52      0.00      1.30      0.00      0.00     98.18
07:00:23 PM     all      0.65      0.00      1.18      0.26      0.00     97.91
07:00:24 PM     all      0.39      0.00      0.92      0.00      0.00     98.69
07:00:25 PM     all      0.40      0.00      1.06      0.00      0.00     98.54
07:00:26 PM     all      0.65      0.00      0.65      0.00      0.00     98.71
07:00:27 PM     all      0.51      0.00      0.77      0.00      0.00     98.72
07:00:28 PM     all      0.66      0.00      0.79      0.26      0.00     98.30
07:00:29 PM     all      0.39      0.00      0.51      0.00      0.00     99.10
07:00:30 PM     all      0.38      0.00      0.64      0.00      0.00     98.98
07:00:31 PM     all      0.64      0.00      0.64      0.00      0.00     98.71
07:00:32 PM     all      0.38      0.00      0.77      0.00      0.00     98.85
07:00:33 PM     all      0.52      0.00      0.26      0.13      0.00     99.10
07:00:34 PM     all      0.64      0.00      0.51      0.00      0.00     98.84
07:00:35 PM     all      0.52      0.00      0.52      0.00      0.00     98.97
07:00:36 PM     all      0.39      0.00      0.52      0.00      0.00     99.09
07:00:37 PM     all      0.52      0.00      0.78      0.00      0.00     98.71
07:00:38 PM     all      0.64      0.00      0.39      0.13      0.00     98.84
07:00:39 PM     all      0.51      0.00      0.64      0.13      0.00     98.71
07:00:40 PM     all      0.26      0.00      0.51      0.00      0.00     99.23
07:00:41 PM     all      0.64      0.00      0.90      0.00      0.00     98.45
07:00:42 PM     all      0.64      0.00      0.64      0.00      0.00     98.72
07:00:43 PM     all      0.54      0.00      2.56      0.81      0.00     96.10
07:00:44 PM     all      0.26      0.00      0.26      0.00      0.00     99.48
07:00:45 PM     all      0.66      0.00      0.66      0.00      0.00     98.67
07:00:46 PM     all      0.39      0.00      0.78      0.00      0.00     98.83
07:00:47 PM     all      0.26      0.00      1.05      0.00      0.00     98.69
