Linux 5.4.0-193-generic (p4) 	08/25/2024 	_x86_64_	(8 CPU)

07:14:46 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:14:47 PM     all      0.27      0.00      1.73      0.00      0.00     98.01
07:14:48 PM     all      0.91      0.00      0.39      0.00      0.00     98.70
07:14:49 PM     all      0.40      0.00      1.45      0.53      0.00     97.62
07:14:50 PM     all      0.39      0.00      0.91      0.26      0.00     98.45
07:14:51 PM     all      0.65      0.00      1.04      0.00      0.00     98.30
07:14:52 PM     all      0.65      0.00      0.39      0.00      0.00     98.97
07:14:53 PM     all      0.39      0.00      1.57      0.13      0.00     97.90
07:14:54 PM     all      0.92      0.00      2.11      0.26      0.00     96.71
07:14:55 PM     all      0.78      0.00      1.42      0.26      0.00     97.55
07:14:56 PM     all      0.64      0.00      0.39      0.00      0.00     98.97
07:14:57 PM     all      1.31      0.00      1.18      0.00      0.00     97.51
07:14:58 PM     all      1.04      0.00      0.91      0.00      0.00     98.04
07:14:59 PM     all      0.92      0.00      0.53      0.00      0.00     98.55
07:15:00 PM     all      0.39      0.00      1.43      0.13      0.00     98.05
07:15:01 PM     all      0.65      0.00      0.78      0.00      0.00     98.58
07:15:02 PM     all      1.03      0.00      1.03      0.00      0.00     97.94
07:15:03 PM     all      0.91      0.00      1.42      0.00      0.00     97.67
07:15:04 PM     all      1.16      0.00      1.93      0.13      0.00     96.79
07:15:05 PM     all      0.78      0.00      0.78      0.26      0.00     98.19
07:15:06 PM     all      0.91      0.00      0.78      0.00      0.00     98.31
07:15:07 PM     all      0.52      0.00      1.42      0.00      0.00     98.06
07:15:08 PM     all      0.39      0.00      1.04      0.00      0.00     98.57
07:15:09 PM     all      0.39      0.00      1.05      0.39      0.00     98.17
07:15:10 PM     all      0.78      0.00      1.04      0.13      0.00     98.06
07:15:11 PM     all      0.77      0.00      1.55      0.00      0.00     97.68
07:15:12 PM     all      0.65      0.00      0.65      0.00      0.00     98.70
07:15:13 PM     all      1.05      0.00      1.71      0.00      0.00     97.24
07:15:14 PM     all      0.90      0.00      0.78      0.00      0.00     98.32
07:15:15 PM     all      0.91      0.00      1.43      0.26      0.00     97.40
07:15:16 PM     all      1.96      0.00      1.17      0.00      0.00     96.87
07:15:17 PM     all      0.80      0.00      0.66      0.00      0.00     98.54
07:15:18 PM     all      0.52      0.00      0.52      0.00      0.00     98.95
07:15:19 PM     all      1.06      0.00      1.32      0.40      0.00     97.22
07:15:20 PM     all      1.19      0.00      1.46      0.27      0.00     97.08
07:15:21 PM     all      1.17      0.00      0.52      0.00      0.00     98.31
